nohup: ignoring input
group_aggregation_bridge was used
gt deep supervision was used
Training on 1 GPUs.
Epoch [127/150], Train Loss: 0.9827,Train Dice Score: 0.8355, Val Loss: 1.2938,Val Dice Score: 0.7861
Epoch [128/150], Train Loss: 0.9340,Train Dice Score: 0.8435, Val Loss: 1.0950,Val Dice Score: 0.8131
Epoch [129/150], Train Loss: 0.9473,Train Dice Score: 0.8413, Val Loss: 1.1858,Val Dice Score: 0.8034
Epoch [130/150], Train Loss: 0.9342,Train Dice Score: 0.8426, Val Loss: 1.1225,Val Dice Score: 0.8090
Epoch [131/150], Train Loss: 0.9179,Train Dice Score: 0.8442, Val Loss: 1.1339,Val Dice Score: 0.8088
Epoch [132/150], Train Loss: 0.9178,Train Dice Score: 0.8457, Val Loss: 1.2124,Val Dice Score: 0.7978
Epoch [133/150], Train Loss: 0.8848,Train Dice Score: 0.8518, Val Loss: 1.0713,Val Dice Score: 0.8219
Epoch [134/150], Train Loss: 0.8920,Train Dice Score: 0.8490, Val Loss: 1.1257,Val Dice Score: 0.8148
Epoch [135/150], Train Loss: 0.8709,Train Dice Score: 0.8533, Val Loss: 1.1663,Val Dice Score: 0.8083
Epoch [136/150], Train Loss: 0.8577,Train Dice Score: 0.8563, Val Loss: 1.1683,Val Dice Score: 0.8081
Epoch [137/150], Train Loss: 0.8686,Train Dice Score: 0.8536, Val Loss: 1.0868,Val Dice Score: 0.8165
Epoch [138/150], Train Loss: 0.8807,Train Dice Score: 0.8540, Val Loss: 1.0281,Val Dice Score: 0.8261
Epoch [139/150], Train Loss: 0.8275,Train Dice Score: 0.8612, Val Loss: 1.1717,Val Dice Score: 0.8092
Epoch [140/150], Train Loss: 0.8554,Train Dice Score: 0.8580, Val Loss: 1.1068,Val Dice Score: 0.8184
Epoch [141/150], Train Loss: 0.8494,Train Dice Score: 0.8588, Val Loss: 1.1528,Val Dice Score: 0.8065
Epoch [142/150], Train Loss: 0.8443,Train Dice Score: 0.8581, Val Loss: 1.1271,Val Dice Score: 0.8140
Epoch [143/150], Train Loss: 0.8096,Train Dice Score: 0.8637, Val Loss: 1.0842,Val Dice Score: 0.8175
Epoch [144/150], Train Loss: 0.8053,Train Dice Score: 0.8656, Val Loss: 1.1226,Val Dice Score: 0.8127
Epoch [145/150], Train Loss: 0.8243,Train Dice Score: 0.8624, Val Loss: 1.0774,Val Dice Score: 0.8207
Epoch [146/150], Train Loss: 0.7958,Train Dice Score: 0.8664, Val Loss: 1.0502,Val Dice Score: 0.8252
Epoch [147/150], Train Loss: 0.7906,Train Dice Score: 0.8677, Val Loss: 1.0851,Val Dice Score: 0.8207
Epoch [148/150], Train Loss: 0.8049,Train Dice Score: 0.8651, Val Loss: 1.1021,Val Dice Score: 0.8178
Epoch [149/150], Train Loss: 0.8239,Train Dice Score: 0.8625, Val Loss: 1.0469,Val Dice Score: 0.8250
Epoch [150/150], Train Loss: 0.7791,Train Dice Score: 0.8683, Val Loss: 1.0517,Val Dice Score: 0.8248
